sigma,favorite,favorite_prob,market_favorite_prob,vs_market_sse,vs_market_mae,n_sims,seconds
0,Spain,0.228,0.1577,0.00854,0.01929,5000,12.3
75,Spain,0.1794,0.1577,0.00298,0.01263,5000,16.5
100,Spain,0.176,0.1577,0.00376,0.01397,5000,15.3
125,Spain,0.1596,0.1577,0.00346,0.01267,5000,12.9
150,Spain,0.1506,0.1577,0.00518,0.01481,5000,14.0
175,Spain,0.1228,0.1577,0.0072,0.01748,5000,15.6
200,Spain,0.1158,0.1577,0.0087,0.01904,5000,13.5
